Órgão;Número do Processo;Modalidade;Objeto;Valor Total/Global;Local de Execução/Entrega;Data Diário Oficial;Protocolo;Início da vigência do contrato;Fim da Vigência do Contrato;Situação
URBS      ;PE 24/2016;PREGÃO ELETRÔNICO;Portas de aço e molas - Serv Serralheria;R$ 43.650,00;CONFORME EDITAL DE EMBASAMENTO;21/09/2016;57-000108/2016;19/09/2016;10/11/2017;Parcialmente Empenhado
SME       ;IN 110/2016;Inexigibilidade de Licitação;Serviço: Contratação de curso com o tema: Educação, sexualidade, gênero e identidade.;R$ 480,00;Conforme processo original;20/09/2016;01-027778/2016;20/09/2016;19/12/2016;Empenhado
SGM       ;PE 215/2016;PREGÃO ELETRÔNICO;Contratação de empresa para prestação de serviços continuos de limpeza,asseio,conservação,desratização e limpeza e desinfecção de caixa d` água com fornecimento total de equipamentos, mão de obra e material de limpeza e higiene.;;Conforme edital de embasamento;22/09/2016;01-105062/2015;;;Processo Revogado
URBS      ;PE 25/2016;PREGÃO ELETRÔNICO;Material elétrico, hidráulicos e outros.;R$ 8.033,42;CONFORME EDITAL DE EMBASAMENTO;23/09/2016;57-000080/2016;02/12/2016;30/05/2017;Confirmado Vencedor
FUC       ;PE 15/2016;PREGÃO ELETRÔNICO;Aquisição  Materiais p/ Pontos e Paradas;R$ 72.527,80;conforme edital de embasamento;23/09/2016;57-000098/2016;19/09/2016;15/12/2017;Empenhado
FMS       ;PE 130/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS PARA A SECRETARIA MUNICIPAL DA SAÚDE.;R$ 2.619,40;Rua João Bettega, 3350 - CIC - Curitiba-Pr - Almoxarifado da SMS;20/09/2016;01-089467/2016;11/10/2016;21/10/2016;Parcialmente Empenhado
FMS       ;PE 131/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS PARA SECRETARIA MUNICIPAL DA SAÚDE.;;Rua João Bettega, 3350 - CIC - Curitiba-Pr - Almoxarifado da SMS;20/09/2016;01-094547/2016;;;Processo Deserto
SMU       ;PE 216/2016;PREGÃO ELETRÔNICO;Aquisição de Capa de Vistoria .;R$ 3.200,00;Av.João Gualberto, 623 - 5º andar - torre C;26/09/2016;01-093935/2016;21/10/2016;05/11/2016;Empenhado
SMSAN     ;PE 217/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE FERTILIZANTE ORGÂNICO PELO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 59.000,00;DE ACORDO COM O EDITAL;05/10/2016;01-091107/2016;19/09/2016;07/11/2017;Empenhado
FAAC      ;PE 39/2016;PREGÃO ELETRÔNICO;PRESTAÇÃO DE SERVIÇOS PARA SERRALHERIA, PELO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 6 (SEIS) MESES.;R$ 7.261,43;conforme edital;20/09/2016;01-092312/2016;19/09/2016;10/04/2017;Parcialmente Empenhado
ICS       ;PE 59/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE EQUIPAMENTOS DE INFORMÁTICA COM INSTALAÇÃO.;R$ 16.990,00;RUA SANTO ANTONIO, 400 REBOUÇAS;20/09/2016;57-000149/2016;;;Autorização de Fornecimento Gerada
FMAS      ;PE 19/2016;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA AQUISIÇÃO DE MATERIAL GRÁFICO - PROTOCOLO DOS CENTROS DE REFERÊNCIA DA ASSISTÊNCIA SOCIAL DE CURITIBA - CRAS;R$ 18.990,00;Conforme nota de empenho;19/09/2016;01-062407/2016;18/10/2016;25/10/2016;Empenhado
FMAS      ;PE 20/2016;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA AQUISIÇÃO DE SACO DE LIXO, PAPEL TOALHA,  PAPEL HIGIÊNICO, FRALDA DESCARTÁVEL E COPO DESCARTÁVEL, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS -   06 MESES.;R$ 394.137,00;CONFORNE NOTA DE EMPENHO.;21/09/2016;01-094592/2016;19/09/2016;25/04/2017;Parcialmente Empenhado
SEPLAD    ;CP 41/2016;Concorrência Pública;Alienação do imóvel de Indicação Fiscal nº 22.042.010.000, matriculado sob nº 90.197,  da 4ª Circunscrição Imobiliária da Comarca de Curitiba.;R$ 185.000,00;Conforme edital e termo de referência.;23/09/2016;01-089203/2016;;;Processo Concluído
SME       ;PE 218/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE FITA TÉRMICA (LAMINADA INDUSTRIAL) PARA PARTICIPAÇÃO EXCLUSIVA DE MICROEMPRESA, EMPRESA DE PEQUENO PORTE E MICROEMPREENDEDOR INDIVIDUAL PARA ATENDER À SECRETARIA MUNICIPAL DA EDUCAÇÃO.;R$ 1.635,00;Av. João Gualberto, nº 623, 3º andar C, Edifício Delta, Alto da Glória;21/09/2016;01-092626/2016;13/10/2016;02/11/2016;Empenhado
FCC       ;PE 15/2016;PREGÃO ELETRÔNICO;Eventos diversos FCC 2016/2017;R$ 573.595,73;Rua Engenheiros Rebouças, 1732;26/09/2016;57-000124/2016;20/09/2016;26/12/2017;Parcialmente Empenhado
ICS       ;PE 60/2016;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM EQUIPAMENTOS OFTALMOLÓGICOS, COM FORNECIMENTOS DE PEÇAS E MÃO DE OBRA ESPECIALIZADA, PELO PERÍODO DE 12 (DOZE) MESES;R$ 837,00;Av. Marechal Floriano Peixoto, 1895;20/09/2016;57-000101/2016;;;Confirmado Vencedor
FMS       ;PE 132/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO  DE MATERIAIS DE EXPEDIENTE PARA A SECRETARIA MUNICIPAL DA SAÚDE.;R$ 8.438,45;CES-Rua Atilio Bório 680-Cristo Rei - 3360-4962;21/09/2016;01-079105/2016;17/10/2016;01/11/2016;Empenhado
SME       ;PE 219/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE ELETRODOMÉSTICOS PARA PARTICIPAÇÃO EXCLUSIVA DE MICROEMPRESA, EMPRESA DE PEQUENO PORTE E MICROEMPREENDEDOR INDIVIDUAL PARA ATENDER À SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 30.238,48;Rua Rosalina Casari, nº 157, Boqueirão, Almoxarifado da SME.;22/09/2016;01-094302/2016;;;Processo Anulado
FMS       ;PE 133/2016;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL DE CONSUMO ODONTOLÓGICO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 339.691,24;Rua João Bettega, 3350 - CIC - Almoxarifado SMS.;21/09/2016;01-089030/2016;20/09/2016;19/01/2018;Parcialmente Empenhado
SMOP      ;CP 42/2016;Concorrência Pública;Execução de Obras de Infraestrutura - Revitalização da Av. Manoel Ribas - Compreendendo obras de drenagem, terraplenagem, pavimentação, paisagismo, remanejamento de interferência, sinalização e iluminação pública.;R$ 19.875.079,19;Av. Manoel Ribas;23/09/2016;01-038698/2016;03/02/2017;14/07/2021;Confirmado Vencedor
FMS       ;DT 83/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE INSULINA GLARGINA 100UI/ML.;R$ 4.672,20;RUA FRANCISCO TORRES 830 - ANDAR C  SALA 02;22/09/2016;01-101763/2016;23/09/2016;30/09/2016;Empenhado
COHAB-CT  ;PE 5/2016;PREGÃO ELETRÔNICO;Aquisição de equipamentos de informática;;Rua barão do Rio Branco nº 45;23/09/2016;01-062665/2016;21/09/2016;21/11/2016;Processo Anulado
FMS       ;DT 84/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO DABIGATRANA ETEXILATO 150MG.;R$ 928,80;RUA FRANCISCO TORRES, 3068;26/09/2016;01-101365/2016;28/09/2016;05/10/2016;Empenhado
FMS       ;DT 85/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO INSULINA GLARGINA 100UI/ML.;R$ 1.201,95;RUA FRANCISCO TORRES, 830 - ANDAR C - SALA C 02.;26/09/2016;01-101275/2016;28/09/2016;05/10/2016;Empenhado
SETRAN    ;PE 220/2016;PREGÃO ELETRÔNICO;Contratação de empresa especializada para executar serviços de manutenção nos equipamentos redutores de velocidade - Barreiras eletrônicas, do Município de Curitiba, com fornecimento de materiais, equipamentos e mão-de-obra especializada, compreendendo, atualização tecnológica, manutenção preventiva, corretiva e assistência técnica aos equipamentos de Barreiras Eletrônicas no nível de hardware e software, conforme especificações contidas no Termo de Referência.;R$ 5.947.200,00;Conforme edital;26/09/2016;01-057208/2015;21/11/2016;19/11/2021;Confirmado Vencedor
SEPLAD    ;PE 221/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE APARELHO TELEFÔNICO (HEADSET COM TIARA), COM FONE DE CABEÇA MONO AURICULAR PARA ATENDIMENTO INCLUSO, COMPATÍVEL COM LINHA ANALÓGICA,;;Conforme recibo de entrega;23/09/2016;01-066716/2016;;;Processo Deserto
FMS       ;DT 86/2016;Dispensa de Licitação - TCE;AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO DOXAZOSINA 2MG CÁPSULA OU COMPRIMIDO.;R$ 1.323,00;RUA JOÃO BETTEGA, 3350 - CIC - ALMOXARIFADO/SMS.;26/09/2016;01-091816/2016;28/09/2016;05/10/2016;Empenhado
SMRH      ;PE 222/2016;PREGÃO ELETRÔNICO;Contratação de serviço de filmagem e edição de vídeo das ações artística culturais do Rh Criativo, com edição de vídeo e áudio, autoração de mídias e finalização de vídeos para acesso em outros suportes digitais.;R$ 8.990,00;conforme edital;23/09/2016;01-059266/2016;;;Confirmado Vencedor
SMOP      ;PE 223/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE EQUIPAMENTO DE PROTEÇÃO INDIVIDUAL - EPI - SMOP.;R$ 4.632,99;CONFORME RECIBO DE ENTREGA.;26/09/2016;01-091324/2016;21/10/2016;31/10/2016;Empenhado
SME       ;PE 224/2016;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE LIMPEZA, ASSEIO E CONSERVAÇÃO COM FORNECIMENTO DE EQUIPAMENTOS , MATERIAL DE LIMPEZA E HIGIENE, PELO PERIODO DE 24 MESES.;R$ 743.904,72;Conforme ordem de serviço;27/09/2016;01-163087/2015;12/12/2016;11/12/2017;Confirmado Vencedor
COHAB-CT  ;PE 6/2016;PREGÃO ELETRÔNICO;Prestação de serviços de locação de equipamentos multifuncionais novos (sem uso), envolvendo a instalação, manutenção preventiva e corretiva e sistema de gerenciamento de impressões/cópias efetivamente realizadas, manutenção preventiva e corretiva dos equipamentos com substituição de peças, componentes e materiais utilizados na manutenção e fornecimento de insumos originais, exceto papel.;R$ 91.600,00;Rua Barão do Rio Branco nº 45 Cohab-Ct - Centro;26/09/2016;01-089143/2016;11/08/2017;10/08/2021;Confirmado Vencedor
URBS      ;CP 11/2016;Concorrência Pública;Alienação de um imóvel urbano de propriedade da URBS localizado no Bairro CIC, Município de Curitiba, matrícula nº 42.523 da 8ª Circunscrição Imobiliária de Curitiba e IF 89.180.021.000 ( Lotes denominados "10 e 11", da quadra nº 12, da Planta Jardim Sant'Ana, no local denominado Terminal de Cargas - Área Sul, com área de 4.979,05m²;;CONFORME EDITAL DE EMBASAMENTO;30/09/2016;01-080884/2016;;;Processo Deserto
URBS      ;CP 12/2016;Concorrência Pública;Abertura de Processo Licitatório, na modalidade de Concorrência, para alienação de 20 (vinte) Imóveis Urbanos de propriedade da URBS S/A, em um único item.;;CONFORME EDITAL DE EMBASAMENTO;30/09/2016;01-096930/2016;;;Processo Deserto
SGM       ;PE 225/2016;PREGÃO ELETRÔNICO;"AQUISIÇÃO DE MATERIAIS DE EXPEDIENTE'.;R$ 123.588,66;Conforme empenho;29/09/2016;01-090059/2016;07/11/2016;30/01/2017;Parcialmente Empenhado
SMELJ     ;PE 226/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE ITENS DE CONSUMO PARA EQUIPAR GINÁSIO DE VOLEIBOL PARA ATENDER A SECRETARIA MUNICIPAL DE ESPORTES, LAZER E JUVENTUDE.;R$ 7.419,58;conforme recibo de entrega;26/09/2016;01-064304/2016;19/10/2016;18/11/2016;Parcialmente Empenhado
FMS       ;FN 15/2016;Financeiro;TERMO DE COOPERAÇÃO TÉCNICA ENTRE A SECRETARIA MUNICIPAL DE SAÚDE E CURITIBA CURSOS TÉCNICOS, ESTABELECENDO SUAS COMPETÊNCIAS NO QUE SE REFERE AO USO DE CAMPO PARA DESENVOLVIMENTO DE ATIVIDADES PRÁTICAS E DEMAIS VIVÊNCIAS PEDAGÓGICAS CURRICULARES. PARA FORMAÇÃO DE RECURSOS HUMANOS DE EDUCAÇÃO PROFISSIONAL DE NÍVEL MÉDIO NA ÁREA DE SAÚDE E AFINS, PARA O CURSO DE TÉCNICO EM ENFERMAGEM. PELO PERÍODO DE 48 (QUARENTA E OITO MESES).;R$ 0,00;Rua Franscico Torres, 830 - SMS;13/10/2016;01-078790/2016;14/10/2016;13/10/2017;Confirmado Vencedor
FMS       ;PE 134/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS PARA A SECRETARIA MUNICIPAL DA SAÚDE.;R$ 72.722,00;Rua João Bettega, 3350 - CIC - Almoxarifado da SMS;26/09/2016;01-094591/2016;20/10/2016;30/10/2016;Parcialmente Empenhado
FMS       ;PE 135/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS PARA A SECRETARIA MUNICIPAL DA SAÚDE.;R$ 4.299,40;Rua João Bettega, 3350 - CIC - Almoxarifado da SMS;26/09/2016;01-095006/2016;19/10/2016;29/10/2016;Parcialmente Empenhado
IMT       ;PE 4/2016;PREGÃO ELETRÔNICO;Serviço de instalação e confecção de toldo.;;Torre Panoramica;26/09/2016;01-146406/2015;;;Processo Fracassado
FMS       ;PE 136/2016;PREGÃO ELETRÔNICO;PRESTAÇÃO DE SERVIÇO DE ADEQUAÇÃO DE SALA DE RAIO X, COM EXECUÇÃO DE PAREDE BARITADA (CONFECÇÃO, INSTALAÇÃO E FORNECIMENTO DO MATERIAL) PARA A SECRETARIA MUNICIPAL DA SAÚDE.;;CEO-Silvio Gevaerd;26/09/2016;01-071369/2016;;;Processo Fracassado
IPPUC     ;DT 3/2016;Dispensa de Licitação - TCE;Elaboração de projeto de obra de arte especial e infraestrutura viária sobre o rio Belém na rua Engenheiros Rebouças.;R$ 57.651,82;RUA BOM JESUS, 669 - IPPUC;26/09/2016;01-024671/2016;19/10/2016;15/10/2018;Empenhado
SMRH      ;IN 111/2016;Inexigibilidade de Licitação;Contratação de serviço de arbitragem para o III torneio RH Criativo de Futsal.;R$ 11.700,00;Conforme descrito no processo;27/09/2016;01-072306/2016;28/09/2016;26/03/2017;Confirmado Vencedor
ICS       ;PE 61/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO COM INSTALAÇÃO DE MOTOR PARA PORTÃO DESLIZANTE;R$ 2.239,00;Rua Santo Antonio, 400;27/09/2016;57-000154/2016;;;Autorização de Fornecimento Gerada
FMAS      ;PE 21/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE ELETRODOMÉSTICOS ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇO VÁLIDOS POR 12 MESES.;R$ 144.408,58;conforme empenho;27/09/2016;01-065601/2016;26/09/2016;11/11/2017;Parcialmente Empenhado
FMS       ;PE 137/2016;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MEDICAMENTOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES;;Rua João Bettega, 3350 - CIC - Almoxarifado da SMS;28/09/2016;01-095016/2016;26/09/2016;26/11/2017;Processo Fracassado
SME       ;PE 227/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS PARA A SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 81.072,13;Rua Potiguara, 975 - Novo Mundo/Capão Raso;27/09/2016;01-100686/2016;26/10/2016;17/11/2016;Parcialmente Empenhado
FMS       ;PE 138/2016;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE SABONETE CREMOSO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 57.060,00;Rua João Bettega, 3350 - CIC - Almoxarifado SMS;27/09/2016;01-093958/2016;27/09/2016;23/11/2017;Empenhado
SME       ;PE 228/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE HORTIFRUTIGRANJEIROS PARA A SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 18.188,87;Rua General Potiguara, 975 Novo Mundo Curitiba Parana;17/10/2016;01-100699/2016;19/10/2016;18/11/2016;Empenhado
FMS       ;PE 139/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS PARA SECRETARIA MUNICIPAL DA SAÚDE.;R$ 11.635,70;Rua João Bettega, 3350 - CIC - Almoxarifado SMS.;27/09/2016;01-089486/2016;28/10/2016;07/11/2016;Parcialmente Empenhado
IMAP      ;IN 11/2016;Inexigibilidade de Licitação;Palestra "O Sentido do trabalho e seus impactos na qualidade do atendimento ao cidadão";R$ 1.500,00;IMAP;28/09/2016;53-000130/2016;28/09/2016;26/01/2017;Empenhado
FMS       ;PE 140/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS PARA SECRETARIA MUNICIPAL DA SAÚDE - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 82.794,00;Avenida Iguaçu, 576 - Rebouças - Central de Vacinas da SMS.;27/09/2016;01-090186/2016;25/10/2016;04/11/2016;Empenhado
FAAC      ;PE 40/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE SACOLAS PLÁSTICAS OXI-BIODEGRADÁVEIS PARA ACONDICIONAMENTO DE ALIMENTOS.;R$ 500.500,00;Rua Capitão João Busse, 660;27/09/2016;01-087164/2016;04/11/2016;04/12/2016;Empenhado
FMS       ;DT 87/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO METILFENIDATO, CLORIDRATO  20MG CÁPSULA;R$ 853,74;RUA PRIMO LOURENÇO TOSIN, 1021 - LABORATÓRIO MUNICIPAL;29/09/2016;01-102847/2016;30/09/2016;10/10/2016;Empenhado
IMAP      ;IN 12/2016;Inexigibilidade de Licitação;INSCRIÇÃO PARA A SERVIDORA VIRGINIA AFONSO GASPARINI - SMAB NO 7° SIMPOSIO BRASILEIRO DE VIGILANCIA SANITARIA - SALVADOR.;R$ 700,00;IMAP;28/09/2016;53-000129/2016;28/09/2016;26/01/2017;Empenhado
FMS       ;PE 141/2016;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL DE EXPEDIENTE, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 80.195,25;Rua João Bettega, 3350 - CIC - Almoxarifado SMS;28/09/2016;01-085456/2016;27/09/2016;21/12/2017;Parcialmente Empenhado
FMS       ;DT 88/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE CANETAS PARA RETROPROJETOR CORES PRETA E AZUL.;R$ 240,95;RUA PRIMO LOURENÇO TOSIN, 1021 - LABORATÓRIO MUNICIPAL;29/09/2016;01-083053/2016;30/09/2016;10/10/2016;Empenhado
FMS       ;PE 142/2016;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL MÉDICO-HOSPITALAR, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS E COTA RESERVADA PARA MICROEMPRESA, EMPRESA DE PEQUENO PORTE E MICROEMPREENDEDOR INDIVIDUAL - ME/EPP/MEI.;R$ 1.482.892,60;Rua João Bettega, 3350 - CIC - Curitiba-Pr - Almoxarifado SMS;28/09/2016;01-094525/2016;27/09/2016;09/12/2017;Parcialmente Empenhado
FMS       ;PE 143/2016;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE FITA ADESIVA EM POLIPROPILENO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES;R$ 15.696,00;Rua João Bettega, 3350 - CIC - Almoxarifado;28/09/2016;01-096169/2016;28/09/2016;23/11/2017;Empenhado
FMS       ;PE 144/2016;PREGÃO ELETRÔNICO;PRESTAÇÃO DE SERVIÇO PARA CONFECÇÃO, INSTALAÇÃO E AUTOMATIZAÇÃO DE PORTÃO;R$ 5.793,00;Rua Dilermando Pereira de Almeida , 700 - Pinheirinho - US Concórdia;28/09/2016;01-091616/2016;24/11/2016;09/12/2016;Empenhado
SMOP      ;PE 229/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO REFERENTE A BLOQUEADOR SOLAR E LÂMPADAS LED.;R$ 5.866,00; conforme recibo de entrega.;28/09/2016;01-083014/2016;21/11/2016;01/12/2016;Empenhado
URBS      ;PE 26/2016;PREGÃO ELETRÔNICO;Fornecimento de café.                      ;R$ 44.640,00;CONFORME EDITAL DE EMBASAMENTO;30/09/2016;57-000140/2016;25/11/2016;17/02/2018;Confirmado Vencedor
URBS      ;PE 27/2016;PREGÃO ELETRÔNICO;Locação de impressoras, com fornecimento de suprimentos, assistência técnica, para atendimento das necessidades da URBS  exceto papel.;R$ 280.931,62;CONFORME EDITAL DE EMBASAMENTO;26/10/2016;57-000086/2016;05/12/2016;04/12/2020;Confirmado Vencedor
SEPLAD    ;PE 230/2016;PREGÃO ELETRÔNICO;Contratação de Serviços de Conectividade para Rede de Telefonia IP em Prédios Municipais.;R$ 480.000,00;Conforme Ordem de Serviço;18/10/2016;01-113491/2015;11/11/2016;10/11/2019;Confirmado Vencedor
ICS       ;IN 1/2016;Inexigibilidade de Licitação;Aquisição de curso de capacitação continuada para pregoeiros, com o tema "Principais irregularidades encontradas nas licitações e responsabilidades dos Agenstes envolvidos, na visão do TCU". para a equipe do compras ICS.;;Cândido Lopes;28/09/2016;01-103661/2016;;;Processo de Compra Montado
ICS       ;PE 62/2016;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE LAVAGEM DE ROUPA HOSPITALAR, COM FORNECIMENTO DE ENXOVAL PELO PERÍODO DE 12 (DOZE) MESES;R$ 5,95;Av. Marechal Floriano Peixoto, 1895;28/09/2016;57-000160/2016;;;Confirmado Vencedor
ICS       ;DT 66/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE BOLSA + PLACA DE COLOSTOMIA;R$ 640,00;Rua Santo Antonio, 400;28/09/2016;01-101049/2016;;;Cotação Informada
FMAS      ;PE 22/2016;PREGÃO ELETRÔNICO;AQUISIÇÃO DE KITS LANCHES TIPO REUNIÃO;R$ 472.112,00;CONFORME EMPENHO;29/09/2016;01-043596/2016;28/09/2016;03/11/2017;Empenhado
CTBA S/A  ;PE 15/2016;PREGÃO ELETRÔNICO;Seleção e contratação de empresas para fornecimento de material de consumo, uniforme e material permanente, conforme outras características e especificações mínimas contidas no formulário proposta eletrônica e anexos, partes integrante deste Edital, à disposição no Portal de Compras da Prefeitura Municipal de Curitiba (www.e-compras.curitiba.pr.gov.br).;R$ 4.173,33;RUA BARAO DO RIO BRANCO 45 8º ANDAR;30/09/2016;57-000156/2016;;;Confirmado Vencedor
SMMA      ;PE 231/2016;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE PUBLICAÇÃO EM JORNAL - PARA SERVIÇOS DE EDIÇÃO E PUBLICIDADE LEGAL INFORMATIVA EM DIÁRIO IMPRESSO DE GRANDE E COMPROVADA CIRCULAÇÃO NO MUNICÍPIO DE CURITIBA E REGIÃO METROPOLITANA, PARA ATENDER A SECRETARIA MUNICIPAL DO MEIO AMBIENTE.                                                                                        ;R$ 17.192,29;Av. Manoel Ribas, 2727 - Merces;28/09/2016;01-085454/2016;21/10/2016;20/10/2017;Empenhado
SMOP      ;CP 43/2016;Concorrência Pública;OBRA DE IMPLANTAÇÃO DE PAVIMENTAÇÃO ASFÁLTICA MEDIANTE A EXECUÇÃO DE GALERIAS DE ÁGUAS PLUVIAIS, TERRAPLANAGEM, PAVIMENTAÇÃO COM CBUQ, SINALIZAÇÃO HORIZONTAL E VERTICAL EM RUAS DE ABRANGÊNCIA DAS REGIONAIS DE SANTA FELICIDADE E CIDADE NDUSTRIAL - LOTE 01, PINHEIRINHO E TATUQUARA - LOTE 02 E REGIONAL DO CAJURÚ - LOTE 03.;R$ 1.994.179,86;DIVERSOS LOCAIS;30/09/2016;01-102194/2016;07/03/2017;01/12/2017;Confirmado Vencedor
SMELJ     ;FN 43/2016;Financeiro;Programa de atendimento Sócioesportivo - Pase.;R$ 0,00;Rua Solimões,160-SMEL;28/09/2016;01-038667/2016;29/09/2016;28/09/2017;Confirmado Vencedor
SMELJ     ;FN 44/2016;Financeiro;Programa de atendimento Sócioesportivo - Pase.;R$ 0,00;RUA SOLIMÔES,160;28/09/2016;01-090573/2015;29/09/2016;28/09/2017;Confirmado Vencedor
FMS       ;DT 89/2016;Dispensa de Licitação - TCE;OBRAS DE ENGENHARIA CIVIL PARA A CONSTRUÇÃO DO REMANESCENTE DAS OBRAS DA UNIDADE DE SAÚDE JARDIM ALIANÇA, À RUA JOSÉ URSOLINO FILHO, S/N - SANTA CÂNDIDA A SEREM EXECUTADAS EM CONFORMIDADE COM O ORÇAMENTO, CRONOGRAMA FÍSICO-FINANCEIRO E PROJETOS.;R$ 773.641,80;RUA JOSÉ URSOLINO FILHO S/N - SANTA CÂNDIDA;29/09/2016;01-081635/2016;28/10/2016;19/02/2018;Confirmado Vencedor
FMS       ;DT 90/2016;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO VALPROATO DE SÓDIO 250MG/5ML SUSPENSÃO.;R$ 11.670,00;RUA JOÃO BETTEGA, 3350 - CIC - ALMOXARIFADO/SMS.;29/09/2016;01-104043/2016;30/09/2016;07/10/2016;Empenhado
ICS       ;PE 63/2016;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO EM PORTAS DE VIDRO (PARTE MECÂNICA / HIDRÁULICA), COM FORNECIMENTOS DE PEÇAS E MÃO DE OBRA ESPECIALIZADA;R$ 13.050,00;Av. Marechal Floriano Peixoto, 1895;28/09/2016;57-000157/2016;;;Autorização de Fornecimento Gerada
SMSAN     ;CP 44/2016;Concorrência Pública;SELEÇÃO DE PROSPOSTAS PARA OCUPAÇÃO E EXPLORAÇÃO DE 69(SESSENTA E NOVE) ESPAÇOS PÚBLICOS, DISTRIBUIDOS EM LOTES, DESTINADOS A COMERCIALIZAÇÃO DE GÊNEROS E PRODUTOS ALIMENTÍCIOS NAS FEIRAS DE CURITIBA. ;R$ 26.351,73;conforme edital;03/10/2016;01-087698/2016;;;Confirmado Vencedor
